trajectory_id,model,received_proposals,persisted_proposals,persistence_rate,post_proposal_failure,auditable,raw_proposal_path
v13_sealed_web_account_setting_change_02_model_b_control,gpt-4.1,1,1,1.0,True,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_02_model_b_control.jsonl
v13_sealed_web_account_setting_change_02_model_a_treatment,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_02_model_a_treatment.jsonl
v13_sealed_web_account_setting_change_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_02_model_b_treatment.jsonl
v13_sealed_web_account_setting_change_03_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_03_model_a_control.jsonl
v13_sealed_web_account_setting_change_03_model_b_control,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_03_model_b_control.jsonl
v13_sealed_web_account_setting_change_03_model_a_treatment,gpt-5,9,9,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_03_model_a_treatment.jsonl
v13_sealed_web_account_setting_change_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_03_model_b_treatment.jsonl
v13_sealed_web_account_setting_change_04_model_a_control,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_04_model_a_control.jsonl
v13_sealed_web_account_setting_change_04_model_b_control,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_04_model_b_control.jsonl
v13_sealed_web_account_setting_change_04_model_a_treatment,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_04_model_a_treatment.jsonl
v13_sealed_web_account_setting_change_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_04_model_b_treatment.jsonl
v13_sealed_web_account_setting_change_05_model_a_control,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_05_model_a_control.jsonl
v13_sealed_web_account_setting_change_05_model_b_control,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_05_model_b_control.jsonl
v13_sealed_web_account_setting_change_05_model_a_treatment,gpt-5,5,5,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_05_model_a_treatment.jsonl
v13_sealed_web_account_setting_change_05_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_account_setting_change_05_model_b_treatment.jsonl
v13_sealed_web_form_preparation_01_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_01_model_a_control.jsonl
v13_sealed_web_form_preparation_01_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_01_model_b_control.jsonl
v13_sealed_web_form_preparation_01_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_01_model_a_treatment.jsonl
v13_sealed_web_form_preparation_01_model_b_treatment,gpt-4.1,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_01_model_b_treatment.jsonl
v13_sealed_web_form_preparation_02_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_02_model_a_control.jsonl
v13_sealed_web_form_preparation_02_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_02_model_b_control.jsonl
v13_sealed_web_form_preparation_02_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_02_model_a_treatment.jsonl
v13_sealed_web_form_preparation_02_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_02_model_b_treatment.jsonl
v13_sealed_web_form_preparation_03_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_03_model_a_control.jsonl
v13_sealed_web_form_preparation_03_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_03_model_b_control.jsonl
v13_sealed_web_form_preparation_03_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_03_model_a_treatment.jsonl
v13_sealed_web_form_preparation_03_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_03_model_b_treatment.jsonl
v13_sealed_web_form_preparation_04_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_04_model_a_control.jsonl
v13_sealed_web_form_preparation_04_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_04_model_b_control.jsonl
v13_sealed_web_form_preparation_04_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_04_model_a_treatment.jsonl
v13_sealed_web_form_preparation_04_model_b_treatment,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_04_model_b_treatment.jsonl
v13_sealed_web_form_preparation_05_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_05_model_a_control.jsonl
v13_sealed_web_form_preparation_05_model_b_control,gpt-4.1,12,12,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_05_model_b_control.jsonl
v13_sealed_web_form_preparation_05_model_a_treatment,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_05_model_a_treatment.jsonl
v13_sealed_web_form_preparation_05_model_b_treatment,gpt-4.1,9,9,1.0,True,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_form_preparation_05_model_b_treatment.jsonl
v13_sealed_web_transaction_preparation_01_model_a_control,gpt-5,7,7,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_01_model_a_control.jsonl
v13_sealed_web_transaction_preparation_01_model_b_control,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_01_model_a_treatment,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_01_model_a_treatment.jsonl
v13_sealed_web_transaction_preparation_01_model_b_treatment,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_02_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_02_model_a_control.jsonl
v13_sealed_web_transaction_preparation_02_model_b_control,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_02_model_a_treatment,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_02_model_a_treatment.jsonl
v13_sealed_web_transaction_preparation_02_model_b_treatment,gpt-4.1,1,1,1.0,True,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_02_model_b_treatment.jsonl
v13_sealed_web_transaction_preparation_03_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_03_model_a_control.jsonl
v13_sealed_web_transaction_preparation_03_model_b_control,gpt-4.1,1,1,1.0,True,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_03_model_b_control.jsonl
v13_sealed_web_transaction_preparation_03_model_a_treatment,gpt-5,8,8,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_03_model_a_treatment.jsonl
v13_sealed_web_transaction_preparation_03_model_b_treatment,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_04_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_04_model_a_control.jsonl
v13_sealed_web_transaction_preparation_04_model_b_control,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_04_model_a_treatment,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_04_model_a_treatment.jsonl
v13_sealed_web_transaction_preparation_04_model_b_treatment,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_05_model_a_control,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_05_model_a_control.jsonl
v13_sealed_web_transaction_preparation_05_model_b_control,gpt-4.1,0,0,NA,False,True,
v13_sealed_web_transaction_preparation_05_model_a_treatment,gpt-5,6,6,1.0,False,True,/Users/gouwenbin/apd-work/authority-evolution/results/delegation_bench_crossmodel_v13/fresh_sealed/raw_proposals/v13_sealed_web_transaction_preparation_05_model_a_treatment.jsonl
v13_sealed_web_transaction_preparation_05_model_b_treatment,gpt-4.1,0,0,NA,False,True,
